Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon
B018,Canarsie Park,Paedergat Basin and Seaview Ave.,,N,40.6308,-73.8933
B330,Capt. V. Hickman Park/IS 78,Veterans Ave. between E 66 and E 68 Sts.,,N,40.6204,-73.9135
B347,Carver Playground,"Ralph Ave., Sumpter St., Howard Ave. and Marion St.",,N,40.6805,-73.9207
B337,Century Playground,W Brighton Ave. between W 2 and W 3 Sts.,,N,40.577,-73.97
B362,Chester Playground,"Chester St., Sutter Ave., Bristol St. and Pitkin Ave.",,N,40.6688,-73.9119
B141,City Line Park,Atlantic & Fountain Aves.,,N,40.6789,-73.8746
B128,Col. David Marcus Memorial Playground,Ave. P & E 5 Sts.,,N,40.6097,-73.9696
B021,Commodore Barry Park & Playground,"Park Ave., Navy St., Flushing Ave. and N. Eliot Pl.",,N,40.6978,-73.9791
B025,Cooper Park,"Sharon St, Olive St., Maspeth Ave. and Morgan Ave.",,N,40.7156,-73.9362
B103,Cypress Hills Houses Playground,Blake & Euclid Aves.,,N,40.6702,-73.8711
B232,Dean Playground,"Dean to Bergen Sts., between 6 and Carlton Aves.",,N,40.681,-73.9734
B215,Decatur Playground,"Decatur and MacDonough Sts., between Sumner and Lewis Aves.",,N,40.6815,-73.9369
B293,DeKalb Playground/PS 270 Playground,Lafayette & Classon Aves.,,N,40.6892,-73.9609
B271,Ditmas Playground/Railroad Playground,Ditmas Ave. between E 91 & E 92 Sts.,,N,40.6495,-73.9143
B056,"Dr. Martin Luther King, Jr. Park","Dumont Ave., Blake Ave., Miller Ave. and Bradford St.",,N,40.6681,-73.8905
B228,Dr. Richard Greene Playground,Stone & Sutter Aves.,,N,40.6674,-73.9066
B125,Dreier-Offerman Park,"Gravesend Bay, Bay 44-Bay 49 Sts. and Shore Pkwy.",,N,40.5876,-73.9905
B028,Dyker Beach Park,"Shore Pkwy., 86 St. and 7 to 14 Aves.",,Y,40.6126,-74.0126
B282,Patrick O&rsquo;Rourke Park,80 to 81 Sts. and 11 to 12 Aves.,,N,40.6191,-74.0135
B321,Edmonds Playground,"DeKalb Ave., Adelphi St., and Carlton Ave.",,N,40.6892,-73.9712
B300,Edward C. Blum Playground/PS 46,Adelphi & Myrtle Aves.,,N,40.6938,-73.9712
B359,Eleanor Roosevelt Playground,"Lewis Ave., DeKalb Ave., Stuyvesant Ave. and Kosciusko St.",,N,40.6927,-73.9357
B313,El-Shabazz Playground,"Reid Ave., Malcolm X Blvd. and MacDonough St.",,N,40.6828,-73.9304
B345,Ethan Allen Park,Cozine Ave. Vermont St. and New Jersey Ave.,,N,40.6555,-73.8871
B358,Eugenio Maria De Hostos Playground,"Harrison Ave., Walton to Lorimer Sts. and Throop Ave.",,N,40.7028,-73.9497
B332,Evergreen Playground,"Evergreen Ave., Decatur St. and Schaefer St.",,N,40.6863,-73.9107
B334,Fermi Playground,"Troutman St., Central Ave., Starr St. and Wilson Ave.",,N,40.7007,-73.9284
B325,Fish Playground,Saratoga Ave. between Herkimer and Fulton Sts.,,N,40.6781,-73.9147
B032,Fort Greene Park,"Myrtle Ave., Cumberland St. and DeKalb Ave.",,N,40.6927,-73.9773
B248,Fox Memorial Park/PS 251 Playground,"Ave. H, Ave. I and E 54 to E 55 Sts.",,N,40.6324,-73.9236
B055,Frances Hamburger Sternberg Park,"Montrose Ave., Boerum St., Lorimer St. and Leonard St.",,N,40.7057,-73.9475
B340,Garden Playground,"Flushing Ave., Beaver St. and Garden St.",,N,40.7012,-73.9381
B254,George Wingate HS Playground,SE Corner Brooklyn Ave. & Rutland Rd.,,N,40.6591,-73.9442
B236,Glenwood Houses Playground,Ralph Ave. & Farragut Rd.,,N,40.6365,-73.9199
B243,Golconda Playground,E/S Gold St. and Nassau to Concord Sts.,,N,40.6977,-73.9828
B230,Gowanus Houses Playground,"Hoyt, Wyckoff and Bond Sts.",,N,40.6844,-73.9876
B078,Grace Playground,"Belmont Ave., Pitkin Ave., Vermont St. and New Jersey St.",,N,40.671,-73.8951
B042,Gravesend Park,18 Ave. Near 57 St.,,N,40.6235,-73.9848
B301,Greene Playground/PS 11 Playground,Greene Ave. between Waverly and Washington Aves.,,N,40.6865,-73.9661
B285,Harry Maze Memorial Park,Ave. D bet. E 56 & E 57 Sts.,,N,40.6433,-73.9231
B323,Hattie Carthan Playground,"Monroe St., Tompkins Ave., Madison St. and Marcy Ave.",,N,40.6858,-73.9461
B235,Herman Dolgon Playground,"Ave. V, Nostrand St. and Batchelder St.",,N,40.5982,-73.9406
B166B,Homecrest Playground,Shore Pkwy. To Williams Ct. and E 12 St.,,N,40.586,-73.957
B363,Houston Playground,"Powell St., Liberty Ave., Sackman St. and Glenmore Ave.",,N,40.6721,-73.9053
B260,Howard Houses Playground & Pool,Glenmore & Mother Gaston Blvd.,,N,40.6718,-73.9084
B163,IS 302 (Sperandeo Brothers),Atlantic Ave. between Elton and Linwood Sts.,,N,40.6763,-73.8844
B216,Israel Putnam Playground,Sumner Ave. and Madison to Monroe Sts.,,N,40.6865,-73.9399
B305,J Playground,"Ave. J, Ave. K, 103 St. and 104 Sts.",,N,40.6442,-73.893
B111,J.J. Byrne Memorial Park/JHS 51,3 to 4 Sts. and 4 to 5 Aves.,,N,40.6728,-73.9842
B294,Jackie Robinson Park,Chauncey St. E/O Reid Ave.,,N,40.68,-73.9277
B357,Jackie Robinson Playground,"Sullivan Pl., Franklin Ave. and Montgomery St.",,N,40.6657,-73.9592
B324,Jacob Joffe Park,Ave. K between E 58 and E 59 Sts.,,N,40.625,-73.9194
B291,James Marshall Power Playground,Ave. N & Utica Ave.,,N,40.6183,-73.9276
B246,Jerome Playground,Wortman Ave. & Warwick St.,,N,40.6591,-73.8796
B269,Jesse Owens Playground,Stuyvesant & Lafayette Aves.,,N,40.6912,-73.9326
B151,Jessie & Charles Dome Playground,NE Corner 38 St. & Dahill Rd.,,N,40.638,-73.98
B346,JHS 126 Playground,Manhattan Ave. & Leonard St. (Ericsson Playground),,N,40.7205,-73.9484
B210I,JHS 136 Playground (Playground Three-Forty),"40 St., 41 St. and 3 Ave.",,N,40.6523,-74.0084
B210A,John Allen Payne Park,64 to 65 Sts. and 3 Ave.,,N,40.6399,-74.0242
B237,John Hancock Playground,"Bedford Ave., Hancock St. and Jefferson Ave.",,N,40.6822,-73.9543
B210W,John J. Carty Park,"Ft. Hamilton, Gowanus Pkwy., and 94 to 101 Sts.",,N,40.6133,-74.0302
B157,Kelly Playground,N/S Ave. S between BMT and PS 255,,N,40.6042,-73.9564
B304,Kennedy King Playground,"Lenox Rd., Clarkson Ave., E 93 St. and E 94 St.",,N,40.6586,-73.9221
B317,Lafayette Gardens Playground,Lafayette & Franklin Aves.,,N,40.6896,-73.9574
B106B,Lafayette Playground,Lafayette & E/O Reid Aves.,,N,40.5946,-73.9854
B167A,LaGuardia Playground,Havemeyer to Roebling Sts. and S 4 to S 5 Sts.,,N,40.71,-73.9593
B052,Leif Ericson Park & Square,66-67 Sts. and 8 to 9 Aves.,,N,40.636,-74.0205
B129,Leon S. Kaiser Playground,Coney Island Creek and W 24 St.,,Y,40.5784,-73.9962
B054,Lincoln Terrace,Rochester Ave. and President St.,,N,40.6657,-73.9268
B214,Linden Playground/JHS 166,"Linden Blvd., Stanley Ave. and Vermont to Wyona Sts.",,N,40.659,-73.8869
B149B,Linwood Playground,"Linwood St., New Lots Ave. and Hegeman Aves.",,N,40.6659,-73.8802
B107,Lion's Pride Playground,"Riverdale, Van Sinderen, Livonia and Snediker Aves.",,N,40.6626,-73.8997
B309,Louis H. Pink Houses Playground,Stanley Ave. & Eldert Lane,,N,40.6663,-73.863
B099,Lt. Petrosino Playground,New Utrecht to 16 Aves. and 70 to 71 Sts.,,N,40.6189,-73.9985
B296,Luna Park Houses Playground,Surf Ave. and W 8 St. to W 12 St.,,N,40.5758,-73.978
B251,Manhattan Beach Park,Oriental Blvd. & Ocean Ave.,,N,40.5767,-73.9461
B284,Marc's & Jason's Playground,"Sterling St., Empire Blvd. and New York Ave.",,N,40.6634,-73.9492
B016,Maria Hernandez Park,Knickerbocker to Irving Aves. and Starr to Suydam Sts.,,N,40.7035,-73.924
B057,Marine Park/Jerry Debonis,Gerritsen Ave. & Ave. X,,N,40.5969,-73.9279
B057,Marine Park/PS 278,Fillmore Ave. & Madison Pl.,,Y,40.608,-73.9378
B110,Marion-Hopkinson Playground,Hopkinson Ave. & Marion St.,,N,40.6817,-73.9136
B272,Marlboro Houses Playground,W 11 St. & Ave. W,,N,40.5911,-73.9808
B098,Martin Luther Playground,"55 to 56 Sts., 2 Ave.",,N,40.6461,-74.0197
B058,McCarren Park,Bedford Avenue and North 12th Street,,N,40.7213,-73.9495
B058,McCarren Park,Abate Playground,,N,40.7212,-73.9554
B061,McLaughlin Park,"Tillary, Jay Sts., Cathedral Pl. and Bridge St.",,N,40.6963,-73.9866
B197,Mellett Playground,"Ave. V, E 13 St. and E 14 St.",,N,40.597,-73.9571
B022,Middleton,"Lynch St., Middleton St. and Lee Ave.",,N,40.7008,-73.9552
B268,Nautilus Playground,"Public Beach, West 29 and West 32 street",,N,40.5717,-73.9968
B331,Neptune Playground,Neptune Ave. & W 12 St.,,N,40.5781,-73.9808
B339,Newport Playground,"Newport Ave., Thatford Ave. and Osborne St.",,N,40.661,-73.9072
B250,Nostrand Playground,Nostrand & Foster Aves.,,N,40.6383,-73.9469
B144,Ocean Hill Playground,"Bergen St., Rockaway Ave. and Dean St.",,N,40.6743,-73.9119
B343,Osborn Playground,"Linden Blvd., Osborne St. and Thatford Ave.",,N,40.6559,-73.9059
B295,Oxport Playground,"Flushing Ave., N Portland Ave. and N Oxford St.",,N,40.6977,-73.9762
B153,Pacific Playground,W/S Howard Ave. and Pacific to Dean Sts.,,N,40.6757,-73.921
B218,Paerdegat Park,"Foster Ave., Farragut Rd., E 40 St. and Albany Ave.",,N,40.6386,-73.938
B068,Parade Ground,"Caton Ave., Coney Island Ave., Parkside Ave. and Parade Pl.",,N,40.6515,-73.9656
B267,Parkside Playground,"Rogers Ave., Winthrop St. and Parkside Ave.",,N,40.6566,-73.9543
B150,Paul W. Kolbert Playground,Ave. L and E 17 to E 18 Sts.,,N,40.6198,-73.9581
B224,Police Officer Reinaldo Salgado Playground,"Monroe to Madison Sts., Patchen Ave. and Ralph Ave.",,N,40.6877,-73.9267
B210J,PS 1 Playground,"43 St., 47 St. and 3 Ave.",,N,40.6493,-74.0121
B348,PS 23 Playground,"Tompkins, Willoughby and Vernon Aves.",,N,40.6942,-73.9469
B306,PS 286 Playground,"Ave. Y, between Brown and Haring Sts.",,N,40.5908,-73.9384
B124,PS 84/William Sheridan,Wythe Ave. to Berry St. and Grand to S 1 Sts.,,N,40.7153,-73.9644
B322,Pulaski Playground,Sumner Ave. between Hart and Pulaski Sts.,,N,40.6936,-73.9419
B265,Rainbow Park,55 and 56 Sts. at 6 Ave.,,N,40.6405,-74.0109
B059,Ramirez Playground,"White, McKibben and Bogart Sts.",,N,,
B152,Rappaport Playground,"Ft. Hamilton Pkwy., 10 Ave. and 52 to 53 Sts.",,N,40.6368,-74.0006
B077,Red Hook Park,"King, Richards, Verona, Dwight, and Pioneer Sts.",,N,40.6772,-74.0091
B126,Red Hook Recreation Area,"Lorraine, Clinton and Henry Sts.",,N,40.6738,-74.0039
B360,Remsen Playground,"Remsen Ave., Glenwood Rd., E 92 St. and Bay View Pl.",,N,40.6423,-73.9075
B223P02,Rodney Park North,"Rodney, S 4 St. and S 5 St.",,N,40.7092,-73.9563
B223O03,Rodney Park South,"Division Ave., Rodney St. and S 9 St.",,N,,
B264,Roebling Playground,"Wilson Ave., Lee Ave., Taylor St. and Bedford Ave.",,N,40.7063,-73.9618
B192,Russell Pederson Playground,S/W Corner 83 St. & Colonial Rd.,,N,40.6261,-74.0361
B352,Sam Curtis Park,"S/S Foster Ave., E 81 St. and E 82 St.",,N,40.6409,-73.9174
